Year,Month,Total Pembayaran,total_qty,Is_Cancelled
2023.0,12.0,23850125,1113,0.2072072072072072
2024.0,1.0,24492481,1463,0.14849187935034802
2024.0,2.0,21141376,962,0.15938303341902313
2024.0,3.0,30259734,2594,0.141280353200883
2024.0,4.0,21260662,1308,0.18089430894308944
2024.0,5.0,35530574,1330,0.1532258064516129
2024.0,6.0,32465925,1758,0.12769010043041606
2024.0,7.0,63791545,3097,0.12283464566929134
2024.0,8.0,65939126,3198,0.15158546017014696
2024.0,9.0,71193097,2920,0.13891362422083706
2024.0,10.0,68444255,3089,0.1306491372226787
2024.0,11.0,54907940,2534,0.1398264223722276
2025.0,1.0,53240632,2572,0.12608695652173912
2025.0,2.0,53088026,2593,0.12748171368861025
2025.0,3.0,43689770,3016,0.17834394904458598
2025.0,4.0,35077659,1961,0.17718446601941748
2025.0,5.0,29139406,1643,0.20757020757020758
2025.0,6.0,30576496,1471,0.15447154471544716
2025.0,8.0,46950416,2207,0.09235668789808917
2025.0,9.0,47056602,2500,0.10167992926613616
2025.0,10.0,61464654,2461,0.0937759336099585
2025.0,11.0,45388311,2742,0.3103448275862069
