Provinsi,total_revenue,avg_order_value,order_count,avg_shipping_cost,cancellation_rate,cluster
BALI,21951090,110864.09,198,8622.64,0.19,0
BANGKA BELITUNG,6328579,50226.82,126,8478.75,0.13,1
BANTEN,177861752,49173.83,3617,3231.53,0.13,2
BENGKULU,6576117,46639.13,141,6594.6,0.17,1
DI YOGYAKARTA,9422267,37389.95,252,2671.03,0.13,1
DKI JAKARTA,135164841,46624.64,2899,3275.86,0.13,2
GORONTALO,2229815,42881.06,52,12207.69,0.27,3
JAMBI,15651007,45763.18,342,4904.91,0.19,1
JAWA BARAT,276992073,41565.44,6664,2393.45,0.12,2
JAWA TENGAH,100114044,66921.15,1496,4060.17,0.14,1
JAWA TIMUR,95478924,59711.65,1599,3315.95,0.17,1
KALIMANTAN BARAT,12360930,57492.7,215,11316.28,0.23,3
KALIMANTAN SELATAN,10075885,66288.72,152,11875.01,0.26,3
KALIMANTAN TENGAH,6949690,51863.36,134,11433.96,0.31,3
KALIMANTAN TIMUR,9446377,71025.39,133,15542.21,0.31,3
KEPULAUAN RIAU,3567630,48211.22,74,8779.73,0.28,3
LAMPUNG,22028652,45326.44,486,4567.43,0.15,1
NANGGROE ACEH DARUSSALAM (NAD),5936568,45317.31,131,6840.47,0.29,3
NUSA TENGGARA BARAT (NTB),13047395,124260.9,105,14701.9,0.28,0
RIAU,15011507,44677.1,336,5441.69,0.22,1
SULAWESI SELATAN,19680129,76279.57,258,11686.44,0.25,3
SULAWESI TENGAH,3164642,56511.46,56,20544.64,0.36,3
SULAWESI TENGGARA,4474071,139814.72,32,34050.0,0.25,0
SULAWESI UTARA,3170710,77334.39,41,22899.98,0.34,3
SUMATERA BARAT,11217328,40205.48,279,5328.32,0.22,1
SUMATERA SELATAN,40909428,64121.36,638,6919.64,0.17,1
SUMATERA UTARA,19783218,64023.36,309,8256.93,0.23,1
